SF EM,SF GA,UNVERSIDAD
CXO - MPE Chief Digital Officer  ENG GA,MPE-CDO-ENG,MITPE
CXO - MPE Chief Digital Officer ESP GA,MPE-CDO-ESP,MITPE
CXO - MPE Chief Product Officer ENG GA,MPE-CPO-ENG,MITPE
CXO - MPE Chief Product Officer ESP GA,MPE-CPO-ESP,MITPE
CXO - MPE Chief Sustainability Officer ENG GA,MPE-CSO-ENG,MITPE
CXO - MPE Chief Sustainability Officer ESP GA,MPE-CSO-ESP,MITPE
CXO - MPE Chief Technology Officer ENG GA,MPE-CTO-ENG,MITPE
CXO - MPE Chief Technology Officer ESP GA,MPE-CTO-ESP,MITPE
PCP - MPE Certificate Dig Transformation ENG GA,MPE-CDT-ENG,MITPE
PCP - MPE Certificado Transformacion Dig ESP GA,MPE-CDT-ESP,MITPE
PCP - MPE Certificat Transformation Numeri FRA GA,MPE-CDT-FRA,MITPE
PCP - MPE Certificato Dig Transformation ITA GA,MPE-CDT-ITA,MITPE
PCP - MPE Certificado Transformacao Dig POR GA,MPE-CDT-POR,MITPE
PCP - MPE Certificad Transformacion Dig SR ESP GA,MPE-CSL-ESP,MITPE
PCP - MPE Certificate in Industry 4.0 ENG GA,MPE-CDI-ENG,MITPE
PCP - MPE Certificado en Industria 4.0 ESP GA,MPE-CDI-ESP,MITPE
PCP - MPE  Certificate Legal Tech ENG GA,MPE-CLT-ENG,MITPE
PCP - MPE Certificado Legal Tech ESP GA,MPE-CLT-ESP,MITPE
PCP - MPE Certificate Product Management ENG GA,MPE-CPM-ENG,MITPE
PCP - MPE Certificado Product Management ESP GA,MPE-CPM-ESP,MITPE
PCP - MPE Certificate in Sustainability ENG GA,MPE-CSM-ENG,MITPE
PCP - MPE Certificado en Sostenibilidad ESP GA,MPE-CSM-ESP,MITPE
PCP - MPE Certificate Strategic Technology ENG GA,MPE-CTR-ENG,MITPE
PCP - MPE Certificado Gestion Tecnologica ESP GA,MPE-CTR-ESP,MITPE
OEP - MPE Blockchain Disruptive Technology ENG GA,MPE-BLC-ENG,MITPE
OEP - MPE Blockchain ESP GA,MPE-BLC-ESP,MITPE
OEP - MPE Blockchain FRA GA,MPE-BLC-FRA,MITPE
OEP - MPE Blockchain Tecnologia Dirompente ITA GA,MPE-BLC-ITA,MITPE
OEP - MPE Blockchain Disrupcao tecnologica POR GA,MPE-BLC-POR,MITPE
OEP - MPE Industrial Internet of Things ENG GA,MPE-IOT-ENG,MITPE
OEP - MPE Internet of Things Industrial ESP GA,MPE-IOT-ESP,MITPE
OEP - MPE Cultural Awareness ENG GA,MPE-BCA-ENG,MITPE
OEP - MPE Cultural Awareness ESP GA,MPE-BCA-ESP,MITPE
OEP - MPE Cultural Awareness FRA GA,MPE-BCA-FRA,MITPE
OEP - MPE Cultural Awareness  ITA GA,MPE-BCA-ITA,MITPE
OEP - MPE Cultural Awareness POR GA,MPE-BCA-POR,MITPE
OEP - MPE Cloud & DevOps ENG GA,MPE-C&D-ENG,MITPE
OEP - MPE Cloud & DevOps ESP GA,MPE-C&D-ESP,MITPE
OEP - MPE Cloud & DevOps FRA GA,MPE-C&D-FRA,MITPE
OEP - MPE Cloud & DevOps ITA GA,MPE-C&D-ITA,MITPE
OEP - MPE Cloud & DevOps POR GA,MPE-C&D-POR,MITPE
OEP - MPE Clean Energy Solutions ENG GA,MPE-CEN-ENG,MITPE
OEP - MPE Energias Limpias ESP GA,MPE-CEN-ESP,MITPE
OEP - MPE Circular Economy ENG GA,MPE-CIE-ENG,MITPE
OEP - MPE Economia Circular ESP GA,MPE-CIE-ESP,MITPE
OEP - MPE Economia Circular POR GA,MPE-CIE-POR,MITPE
OEP - MPE Data Leadership ENG GA,MPE-DAT-ENG,MITPE
OEP - MPE Data Leadership ESP GA,MPE-DAT-ESP,MITPE
OEP - MPE Designing High-Impact Solutions ENG GA,MPE-DIF-ENG,MITPE
OEP - MPE Diseno e Innovacion ESP GA,MPE-DIF-ESP,MITPE
OEP - MPE Desenhando Solucoes POR GA,MPE-DIF-POR,MITPE
OEP - MPE Designing Product Families ENG GA,MPE-DPF-ENG,MITPE
OEP - MPE Diseno Industrial ESP GA,MPE-DPF-ESP,MITPE
OEP - MPE Projetando familias de produtos POR GA,MPE-DPF-POR,MITPE
OEP - MPE Digital Platforms ENG GA,MPE-TSM-ENG,MITPE
OEP - MPE Plataformas Digitales ESP GA,MPE-TSM-ESP,MITPE
OEP - MPE Estrategias de Negocios Digitais POR GA,MPE-TSM-POR,MITPE
OEP - MPE Digital Transformation ENG GA,MPE-DTR-ENG,MITPE
OEP - MPE Transformacion Digital ESP GA,MPE-DTR-ESP,MITPE
OEP - MPE Transformation Numerique FRA GA,MPE-DTR-FRA,MITPE
OEP - MPE Trasformazione Digitale ITA GA,MPE-DTR-ITA,MITPE
OEP - MPE Transformacao Digital POR GA,MPE-DTR-POR,MITPE
OEP - MPE Forecasting Tech Innovation ENG GA,MPE-FTI-ENG,MITPE
OEP - MPE Innovacion Tecnologica ESP GA,MPE-FTI-ESP,MITPE
OEP - MPE Liderazgo en la Innovacion ESP GA,MPE-LDI-ESP,MITPE
OEP - MPE Life Cycle Assessment ENG GA,MPE-LCA-ENG,MITPE
OEP - MPE Analisis de Ciclo de Vida ESP GA,MPE-LCA-ESP,MITPE
OEP - MPE Leadership & Innovation ENG GA,MPE-LDI-ENG,MITPE
OEP - MPE Leadership dans iInnovation FRA GA,MPE-LDI-FRA,MITPE
OEP - MPE Leadership e Innovazione ITA GA,MPE-LDI-ITA,MITPE
OEP - MPE Lideranca na Inovacao POR GA,MPE-LDI-POR,MITPE
OEP - MPE Machine Learning ENG GA,MPE-MLT-ENG,MITPE
OEP - MPE Machine Learning ESP GA,MPE-MLT-ESP,MITPE
OEP - MPE Machine Learning FRA GA,MPE-MLT-FRA,MITPE
OEP - MPE Machine Learning ITA GA,MPE-MLT-ITA,MITPE
OEP - MPE Machine Learning POR GA,MPE-MLT-POR,MITPE
OEP - MPE Management of Technology 1 ENG GA,MPE-MOT-ENG,MITPE
OEP - MPE Gestion del Desarrollo Tech  1 ESP GA,MPE-MOT-ESP,MITPE
OEP - MPE Gestao da Tecnologia POR GA,MPE-MOT-POR,MITPE
OEP - MPE Management of Technology 2 ENG GA,MPE-MOS-ENG,MITPE
OEP - MPE Gestion del Desarrollo Tech 2 ESP GA,MPE-MOS-ESP,MITPE
OEP - MPE New Space Economy ENG GA,MPE-NSE-ENG,MITPE
OEP - MPE Persuasive Communication ENG GA,MPE-PC-ENG,MITPE
OEP - MPE Comunicacion Persuasiva ESP GA,MPE-PC-ESP,MITPE
OEP - MPE Comunicacao persuasiva POR GA,MPE-PC-POR,MITPE
OEP - MPE Innovation and Technology ENG GA,MPE-ISH-ENG,MITPE
OEP - MPE Innovacion ESP GA,MPE-ISH-ESP,MITPE
OEP - MPE Sustainable Infrastructure ENG GA,MPE-SIS-ENG,MITPE
OEP - MPE Infraestructura Sostenible ESP GA,MPE-SIS-ESP,MITPE
OEP - MPE Smart Manufacturing ENG GA,MPE-SMO-ENG,MITPE
OEP - MPE Smart Manufacturing ESP GA,MPE-SMO-ESP,MITPE
OEP - MPE Manufatura Inteligente POR GA,MPE-SMO-POR,MITPE
OEP - MPE Sustainability ENG GA,MPE-SUS-ENG,MITPE
OEP - MPE Sostenibilidad ESP GA,MPE-SUS-ESP,MITPE
OEP - MPE Le Developpement Durable FRA GA,MPE-SUS-FRA,MITPE
OEP - MPE Sostenibilità ITA GA,MPE-SUS-ITA,MITPE
OEP - MPE Sustentabilidade POR GA,MPE-SUS-POR,MITPE
OEP - MPE Transformational Leadership ENG GA,MPE-TLD-ENG,MITPE
OEP - MPE Desarrollo Directivo ESP GA,MPE-TLD-ESP,MITPE
OEP - MPE Women in Leadership ENG GA,MPE-WIL-ENG,MITPE
OEP - MPE Mujeres en Liderazgo ESP GA,MPE-WIL-ESP,MITPE
OEP - MPE Mulheres na Lideranca POR GA,MPE-WIL-POR,MITPE
LV - MPE Applied Generative AI ENG GA,MPE-GAI-ENG,MITPE
OEP - MXP Machine Learning Bundle ESP GA,MXP-PML-ESP,MITxPRO
OEP - MXP Critical Thinking ESP GA,MXP-CRT-ESP,MITxPRO
OEP - MXP Pensamento Analitico POR GA,MXP-CRT-POR,MITxPRO
OEP - MXP Deep Learning ENG GA,MXP-DL-ENG,MITxPRO
OEP - MXP Deep Learning ESP GA,MXP-DL-ESP,MITxPRO
OEP - MXP Deep Learning POR GA,MXP-DL-POR,MITxPRO
OEP - MXP Planning Digital Transformation ENG GA,MXP-DMS-ENG,MITxPRO
OEP - MXP Transformacion Digital ESP GA,MXP-DMS-ESP,MITxPRO
OEP - MXP Transformacao Digital POR GA,MXP-DMS-POR,MITxPRO
OEP - MXP Data Science y Big Data ESP GA,MXP-DSB-ESP,MITxPRO
OEP - MXP Data Science e Big Data POR GA,MXP-DSB-POR,MITxPRO
OEP - MXP Estrategia de Management ESP GA,MXP-STO-ESP,MITxPRO
OEP - MXP Generative AI for Design ENG GA,MXP-GAD-ENG,MITxPRO
OEP - MXP Project Management ENG GA,MXP-MCPO-ENG,MITxPRO
OEP - MXP Gestion de Proyectos ESP GA,MXP-MCPO-ESP,MITxPRO
OEP - MXP Gestao de Projetos POR GA,MXP-MCPO-POR,MITxPRO
OEP - MXP Machine Learning Simulacion ESP GA,MXP-MLM-ESP,MITxPRO
OEP - MXP Machine Learning Aplicado ESP GA,MXP-MLI-ESP,MITxPRO
OEP - MXP Estrategias de Negociacion ESP GA,MXP-NEG-ESP,MITxPRO
OEP - MXP System Thinking ESP GA,MXP-SYT-ESP,MITxPRO
OEP - MXP Inovacao Tecnologica POR GA,MXP-TCI-POR,MITxPRO
OEP - MXP Innovacion Tecnologica ESP GA,MXP-TCI-ESP,MITxPRO
PCP - UCH PC Data Science ENG GA,UCH-DSC-ENG,UCPE
PCP - UCH PC Data Science ESP GA,UCH-DSC-ESP,UCPE
PCP - UCH PC Strategic Finance ENG GA,UCH-FMD-ENG,UCPE
PCP - UCH PC Direccion Financiera ESP GA,UCH-FMD-ESP,UCPE
PCP - UCH PC Digital Marketing ENG GA,UCH-MAC-ENG,UCPE
PCP - UCH PC Digital Marketing ESP GA,UCH-MAC-ESP,UCPE
PCP - UCH Data Engineering Accelerated BC ENG GA,UCH-IDE-ENG,UCPE
PCP - UCH Fintech Accelerated Bootcamp ENG GA,UCH-IFT-ENG,UCPE
CXO - UCH Chief Revenue Officer Ex Ed ENG GA,UCH-CRO-ENG,UCPE
OEP - UCH Artificial Intelligence & DSc GA,UCH-AID-ENG,UCPE
OEP - UCH lA & Data Science ESP GA,UCH-AID-ESP,UCPE
OEP - UCH IA & Data Science POR GA,UCH-AID-POR,UCPE
OEP - UCH AI & Machine Learning ENG GA,UCH-AML-ENG,UCPE
OEP - UCH AI & Machine Learning ESP GA,UCH-AML-ESP,UCPE
OEP - UCH AI Powered Cybersecurity Leaders ENG GA,UCH-APC-ENG,UCPE
OEP - UCH Big Data in Marketing ENG GA,UCH-BDM-ENG,UCPE
OEP - UCH Big Data para Marketing ESP GA,UCH-BDM-ESP,UCPE
OEP - UCH The Psychology of Finance ENG GA,UCH-BEH-ENG,UCPE
OEP - UCH La Psicologia de las Finanzas ESP GA,UCH-BEH-ESP,UCPE
OEP - UCH Psicologia Financeira POR GA,UCH-BEH-POR,UCPE
OEP - UCH Building Resilient Teams ENG GA,UCH-BMR-ENG,UCPE
OEP - UCH Gestion de Equipos Resilientes ESP GA,UCH-BMR-ESP,UCPE
OEP - UCH Formacao equipes resilientes POR GA,UCH-BMR-POR,UCPE
OEP - UCH Circular Economy&Sustainability ENG GA,UCH-CEB-ENG,UCPE
OEP - UCH Economia Circular&Sostenibilidad ESP GA,UCH-CEB-ESP,UCPE
OEP - UCH Corporate Financial Strategy GA,UCH-CFS-ENG,UCPE
OEP - UCH Estrategia Financiera ESP GA,UCH-CFS-ESP,UCPE
OEP - UCH Estrategia Financeira POR GA,UCH-CFS-POR,UCPE
OEP - UCH Crisis Planning & Response Manag ENG GA,UCH-EMO-ENG,UCPE
OEP - UCH Planificacion Gestion&Resolucion ESP GA,UCH-EMO-ESP,UCPE
OEP - UCH Gestao crise:s planejamento POR GA,UCH-EMO-POR,UCPE
OEP - UCH Global Clinical Research ENG GA,UCH-CLI-ENG,UCPE
OEP - UCH Investigacion Clinica Global ESP GA,UCH-CLI-ESP,UCPE
OEP - UCH Pesquisa Clinica Global POR GA,UCH-CLI-POR,UCPE
OEP - UCH Data-Driven Content Marketing ENG GA,UCH-DCM-ENG,UCPE
OEP - UCH Data-Driven Content Marketing ESP GA,UCH-DCM-ESP,UCPE
OEP - UCH Marketing de Conteudo POR GA,UCH-DCM-POR,UCPE
OEP - UCH Machine Learning for Finance ENG GA,UCH-DFA-ENG,UCPE
OEP - UCH Machine Learning para Finanzas ESP GA,UCH-DFA-ESP,UCPE
OEP - UCH Machine Learning para Financas POR GA,UCH-DFA-POR,UCPE
OEP - UCH Data Engineering GA,UCH-DTA-ENG,UCPE
OEP - UCH Data Engineering ESP GA,UCH-DTA-ESP,UCPE
OEP - UCH Digital Marketing  ENG GA,UCH-DML-ENG,UCPE
OEP - UCH Digital Marketing ESP GA,UCH-DML-ESP,UCPE
OEP - UCH Digital Marketing POR GA,UCH-DML-POR,UCPE
OEP - UCH Decision-Making&Risk Management ENG GA,UCH-DMR-ENG,UCPE
OEP - UCH Gestion del Riesgo: finanzas ESP GA,UCH-DMR-ESP,UCPE
OEP - UCH Gestao de Riscos: financa POR GA,UCH-DMR-POR,UCPE
OEP - UCH DevOps ENG GA,UCH-DEV-ENG,UCPE
OEP - UCH DevOps ESP GA,UCH-DEV-ESP,UCPE
OEP - UCH FinTech ENG GA,UCH-FNT-ENG,UCPE
OEP - UCH FinTech ESP GA,UCH-FNT-ESP,UCPE
OEP - UCH FinTech POR GA,UCH-FNT-POR,UCPE
OEP - GRH-Foundations of Creative Writing,GRH-FCW-ENG,GRAHAM
OEP - UCH Generative AI for Business GA,UCH-GAB-ENG,UCPE
OEP - UCH Leading Teams ENG GA,UCH-LTO-ENG,UCPE
OEP - UCH Liderar Equipos ESP GA,UCH-LTO-ESP,UCPE
"OEP - UCH Lideranca, Gestao e Incentivo POR GA",UCH-LTO-POR,UCPE
OEP - UCH Marketing Analytics for Leaders ENG GA,UCH-MAN-ENG,UCPE
OEP - UCH Marketing Analytics para lideres ESP GA,UCH-MAN-ESP,UCPE
OEP - UCH Marketing Analytics for Leaders POR GA,UCH-MAN-POR,UCPE
OEP - UCH Predictive Analytics Marketing ENG GA,UCH-PAM-ENG,UCPE
OEP - UCH Analisis Predictivo en Marketing ESP GA,UCH-PAM-ESP,UCPE
OEP - UCH Analise preditiva em marketing POR GA,UCH-PAM-POR,UCPE
OEP - UCH Python for Data Science GA,UCH-PHY-ENG,UCPE
OEP - UCH Python for Data Science ESP GA,UCH-PHY-ESP,UCPE
OEP - UCH Consumer Behavior & Marketing ENG GA,UCH-SCI-ENG,UCPE
OEP - UCH Entendimiento Estrategico ESP GA,UCH-SCI-ESP,UCPE
OEP - UCH Comportamento do consumidor POR GA,UCH-SCI-POR,UCPE
OEP - UCH Statistics for Data Science ENG GA,UCH-SDS-ENG,UCPE
OEP - UCH Estadistica para Data Science ESP GA,UCH-SDS-ESP,UCPE
OEP - UCH Strategic Data Storytelling GA,UCH-STD-ENG,UCPE
OEP - UCH Storytelling Datos Estrategicos ESP GA,UCH-STD-ESP,UCPE
OEP - UCH Storytelling Dados Estrategicos POR GA,UCH-STD-POR,UCPE
OEP - UCH Web Analytics ENG GA,UCH-SEO-ENG,UCPE
OEP - UCH Analitica Web ESP GA,UCH-SEO-ESP,UCPE
OEP - UCH Web Analytics POR GA,UCH-SEO-POR,UCPE
PCP - CBT High-Impact Management Program ENG GA,CBT-HMP-ENG,BOOTH
OEP - CBT The Advanced Strategy Program ENG GA,CBT-ASP-ENG,BOOTH
OEP - CBT Behavioral Economics ENG GA,CBT-BEC-ENG,BOOTH
OEP - CBT Behavioral Economics ESP GA,CBT-BEC-ESP,BOOTH
OEP - CBT Behavioral Economics POR GA,CBT-BEC-POR,BOOTH
OEP - CBT Approach to Finance ENG GA,CBT-FIN-ENG,BOOTH
OEP - CBT Approach to Finance ESP GA,CBT-FIN-ESP,BOOTH
OEP - CBT Approach to Finance POR GA,CBT-FIN-POR,BOOTH
OEP - CBT Effective Business Communication ENG GA,CBT-EBC-ENG,BOOTH
OEP - CBT Effective Business Comunication ESP GA,CBT-EBC-ESP,BOOTH
OEP - CBT Mindful Leadership POR GA,CBT-EBC-POR,BOOTH
OEP - CBT Mindful Leadership ENG GA,CBT-WBL-ENG,BOOTH
OEP - CBT Mindful Leadership ESP GA,CBT-WBL-ESP,BOOTH
OEP - CBT Mindful Leadership POR GA,CBT-WBL-POR,BOOTH
OEP - PEN English for Prof Development ENG GA,PEN-EBS-ENG,Penn ELP
CXO - UMH Chief Executive Officer ENG GA,UMH-CEO-ENG,UMHBS
CXO - UMH Chief Financial Officer ENG GA,UMH-CFO-ENG,UMHBS
CXO - UMH Chief Financial Officer ESP GA,UMH-CFO-ESP,UMHBS
CXO - UMH Chief Marketing Officer ENG GA,UMH-CMO-ENG,UMHBS
CXO - UMH Chief Technology Officer ENG GA,UMH-CTO-ENG,UMHBS
CXO - UMH Chief Technology Officer ESP GA,UMH-CTO-ESP,UMHBS
OEP - UMH Human Capital and Talent Strategy,UMH-HCT-ENG,UMHBS
OEP - UMH Technology Strategy,UMH-TSX-ENG,UMHBS
OEP - UMH-AI and Analytics for Marketing ENG GA,UMH-AIM-ENG,UMHBS
OEP - UMH Dig Marketing & Customer ESP GA,UMH-DMC-ESP,UMHBS
OEP - UMH Dig Transformation in Health  ESP GA,UMH-DTH-ESP,UMHBS
OEP - UMH Digital Transformation in Health PT GA,UMH-DTH-POR,UMHBS
OEP - UMH Mergers and Acquisitions,UMH-MIG-ENG,UMHBS
OEP - UMH Real Estate E-Property Mgmt ESP GA,UMH-REM-ESP,UMHBS
OEP - UMH Real Estate E-Property Management  PT GA,UMH-REM-POR,UMHBS
OEP - MPE Bundle Program in Management of Technology ENG GA,MPE-BMT-ENG,MITPE